,cash
525,822.5
526,837.5
527,852.5
528,200.0
529,180.0
530,180.0
531,160.0
532,160.0
533,140.0
534,130.0
535,110.0
536,110.0
537,70.0
538,30.0
539,10.0
540,30.0
541,15.0
542,5.0
543,5.0
544,125.0
545,105.0
546,95.0
547,75.0
548,235.0
549,225.0
550,215.0
551,195.0
552,155.0
553,140.0
554,155.0
555,135.0
556,115.0
557,105.0
558,85.0
559,170.0
560,150.0
561,140.0
562,120.0
563,275.0
564,255.0
565,245.0
566,225.0
567,375.0
568,355.0
569,345.0
570,325.0
571,315.0
572,315.0
573,305.0
574,285.0
575,405.0
576,420.0
577,400.0
578,390.0
579,370.0
580,485.0
581,465.0
582,455.0
583,492.5
584,472.5
585,462.5
586,442.5
587,557.5
588,537.5
589,527.5
590,522.5
591,502.5
592,492.5
593,472.5
594,582.5
595,562.5
596,652.5
597,642.5
598,632.5
599,607.5
600,592.5
601,592.5
602,592.5
603,572.5
604,562.5
605,542.5
606,657.5
607,637.5
608,627.5
609,607.5
610,807.5
611,807.5
612,797.5
613,777.5
614,892.5
615,907.5
616,887.5
617,877.5
618,877.5
619,857.5
620,847.5
621,827.5
622,922.5
623,912.5
624,902.5
625,882.5
626,200.0
627,170.0
628,170.0
629,150.0
630,140.0
631,120.0
632,235.0
633,215.0
634,205.0
635,185.0
636,350.0
637,330.0
638,310.0
639,290.0
640,250.0
641,250.0
642,230.0
643,210.0
644,200.0
645,180.0
646,405.0
647,395.0
648,385.0
649,370.0
650,360.0
651,340.0
652,330.0
653,330.0
654,310.0
655,300.0
656,280.0
657,395.0
658,395.0
659,410.0
660,390.0
661,380.0
662,360.0
663,515.0
664,505.0
665,495.0
666,475.0
667,560.0
668,550.0
669,540.0
670,520.0
671,480.0
672,535.0
673,520.0
674,510.0
675,490.0
676,490.0
677,470.0
678,460.0
679,440.0
680,420.0
681,510.0
682,490.0
683,480.0
684,440.0
685,400.0
686,360.0
687,360.0
688,340.0
689,405.0
690,385.0
691,375.0
692,355.0
693,565.0
694,545.0
695,525.0
696,515.0
697,495.0
698,620.0
699,610.0
700,600.0
701,580.0
702,700.0
703,685.0
704,675.0
705,655.0
706,805.0
707,785.0
708,765.0
709,755.0
710,735.0
711,735.0
712,715.0
713,770.0
714,750.0
715,740.0
716,720.0
717,830.0
718,815.0
719,805.0
720,785.0
721,895.0
722,875.0
723,875.0
724,855.0
725,855.0
726,835.0
727,835.0
728,815.0
729,815.0
730,795.0
731,785.0
732,765.0
733,725.0
734,200.0
735,180.0
736,180.0
737,180.0
738,180.0
739,160.0
740,215.0
741,195.0
742,185.0
743,165.0
744,380.0
745,360.0
746,350.0
747,340.0
748,320.0
749,300.0
750,300.0
751,300.0
752,280.0
753,270.0
754,250.0
755,405.0
756,405.0
757,395.0
758,375.0
759,355.0
760,315.0
761,310.0
762,295.0
763,295.0
764,275.0
765,275.0
766,255.0
767,360.0
768,340.0
769,395.0
770,375.0
771,430.0
772,410.0
773,400.0
774,380.0
775,360.0
776,350.0
777,330.0
778,490.0
779,505.0
780,485.0
781,475.0
782,455.0
783,435.0
784,425.0
785,415.0
786,395.0
787,385.0
788,365.0
789,500.0
790,485.0
791,475.0
792,455.0
793,675.0
794,655.0
795,645.0
796,625.0
797,740.0
798,720.0
799,710.0
800,690.0
801,650.0
802,650.0
803,650.0
804,630.0
805,640.0
806,620.0
807,610.0
808,570.0
809,630.0
810,610.0
811,600.0
812,595.0
813,585.0
814,575.0
815,565.0
816,525.0
817,560.0
818,545.0
819,595.0
820,575.0
821,565.0
822,545.0
823,660.0
824,640.0
825,620.0
826,610.0
827,610.0
828,580.0
829,580.0
830,560.0
831,550.0
832,530.0
833,665.0
834,645.0
835,635.0
836,615.0
837,605.0
838,595.0
839,200.0
840,190.0
841,180.0
842,160.0
843,160.0
844,140.0
845,130.0
846,110.0
847,90.0
848,80.0
849,70.0
850,60.0
851,40.0
852,210.0
853,195.0
854,185.0
855,185.0
856,165.0
857,155.0
858,135.0
859,250.0
860,230.0
861,220.0
862,200.0
863,360.0
864,340.0
865,330.0
866,310.0
867,495.0
868,475.0
869,465.0
870,445.0
871,555.0
872,545.0
873,535.0
874,515.0
875,505.0
876,485.0
877,615.0
878,600.0
879,590.0
880,570.0
881,700.0
882,680.0
883,680.0
884,660.0
885,785.0
886,765.0
887,765.0
888,725.0
889,725.0
890,705.0
891,695.0
892,675.0
893,675.0
894,690.0
895,680.0
896,670.0
897,670.0
898,650.0
899,620.0
900,610.0
901,600.0
902,580.0
903,775.0
904,760.0
905,760.0
906,760.0
907,760.0
908,740.0
909,740.0
910,740.0
911,850.0
912,830.0
913,830.0
914,830.0
915,830.0
916,810.0
917,790.0
918,780.0
919,760.0
920,740.0
921,720.0
922,720.0
923,700.0
924,835.0
925,815.0
926,815.0
927,815.0
928,805.0
929,795.0
930,790.0
931,775.0
932,775.0
933,775.0
934,775.0
935,755.0
936,755.0
937,735.0
938,830.0
939,845.0
940,860.0
941,840.0
942,840.0
943,840.0
944,820.0
945,820.0
946,200.0
947,180.0
948,170.0
949,150.0
950,150.0
951,130.0
952,110.0
953,100.0
954,80.0
955,305.0
956,290.0
957,280.0
958,260.0
959,370.0
960,340.0
961,330.0
962,320.0
963,300.0
964,525.0
965,505.0
966,485.0
967,485.0
968,465.0
969,455.0
970,415.0
971,415.0
972,395.0
973,385.0
974,365.0
975,455.0
976,435.0
977,425.0
978,405.0
979,405.0
980,385.0
981,375.0
982,355.0
983,580.0
984,585.0
985,575.0
986,565.0
987,545.0
988,680.0
989,665.0
990,655.0
991,635.0
992,615.0
993,890.0
994,870.0
995,870.0
996,870.0
997,870.0
998,850.0
999,850.0
1000,850.0
